,user,text,favorite_count,retweet_count,created_at
0,AzriWalter,@DanialHasif Malam sampai buat suam ya,0,0,2023-04-09 09:29:01+00:00
1,AzriWalter,@hahnzulkifli Wah best tu nanti publish dekat mana?,0,0,2023-04-09 07:57:24+00:00
2,AzriWalter,"@raquibahmadsyed Kerja mana tu, moga dipermudahkan urusan",0,0,2023-04-09 07:56:55+00:00
3,AzriWalter,Jom berbual. Hari Ahad ni korang apa aktiviti gais?,15,1,2023-04-09 07:35:13+00:00
4,AzriWalter,@Splnespecialist Kerana boleh,0,0,2023-04-09 07:27:40+00:00
5,AzriWalter,@Baritarmidi4 Nak ke,0,0,2023-04-09 07:26:52+00:00
6,AzriWalter,@mhfziqbl Ha ha ha gurau je,2,0,2023-04-09 07:04:16+00:00
7,AzriWalter,@mmdaniall Ya Danial. Its time for you too shine. All the best  😆,6,0,2023-04-09 05:55:20+00:00
8,AzriWalter,@thefaizzainal Setuju,0,0,2023-04-09 05:24:40+00:00
9,AzriWalter,@okmuazh Ha ha ha,1,0,2023-04-09 05:24:18+00:00
10,AzriWalter,@Keburungan Ya saya telah berikrar 😆,1,0,2023-04-09 05:20:11+00:00
11,AzriWalter,@arshadbvw @okmuazh InsyaAllah moga ramai dapat manfaat. Melawan anak JANTAN💪,3,0,2023-04-09 05:16:12+00:00
12,AzriWalter,@Keburungan Harap Daniel faham supaya memberi laluan pada dia untuk cari makan 😆,4,0,2023-04-09 05:13:42+00:00
13,AzriWalter,@idrisalhurri Ha ha ha,1,0,2023-04-09 05:09:11+00:00
14,AzriWalter,"Daniel : Bang kenapa abang botak kan rambut?

AW : Nah tatap gambar ni dik. Aku harap kau faham. Bayangkan kalau kacak macam ni, bersaing dengan kau Daniel. Dah tentu sampai ke sudah kau tak dapat calon isteri. Ha ha ha https://t.co/7ricMYmc33",78,15,2023-04-09 05:07:24+00:00
15,AzriWalter,"Sukses setiap penjuru hidup :

Dulu berat badan saya 96kg nyaris sampai 100kg.  Sekarang maintain 75kg.

Kalau nak bagi tips, its too lame. Belambak dah tips kat luar sana.

Kali ni saya nak share MOTIVASI sahaja. Bagaimana saya kekal melawan untuk dapatkan tubuh badan yang FIT?… https://t.co/RnDFvSezFL https://t.co/PcV3OrDjjy",131,32,2023-04-09 04:31:23+00:00
16,AzriWalter,@UD2IN PA system assistant usung speaker dan gulung kabel,0,0,2023-04-09 04:18:30+00:00
17,AzriWalter,"@lisahadeeja PA system crew  pikul speaker, gulung kabel",1,0,2023-04-09 04:17:18+00:00
18,AzriWalter,"How to overcome failure :

1. Jangan ikut dalam drama
2. What ever happen always dress well, stay positive, maintain attitude 
3. Syarikat dan individu adalah 2 entiti yang berbeza. 
4. Jatuh 100 kali, bangkit 10000 kali sampai jadi https://t.co/tOps8ITJnJ",144,51,2023-04-08 23:56:05+00:00
19,AzriWalter,"How to overcome failure :

1. Jangan ikut dalam drama
2. What ever happen always dress well, stay positive, maintain attitude 
3. Syarikat dan individu adalah 2 entiti yang berbeza. 
4. Jatuh 100 kali, bangkit 10000 kali sampai jadi https://t.co/CuJWLpaf89",53,17,2023-04-08 23:56:03+00:00
20,AzriWalter,@wanhafiz Moga kita semua berjaya dunia akhira Amin,2,1,2023-04-08 23:55:37+00:00
